Month,Hour,Day Type,State,Destination Charger,Estimated Departure Time,Required Soc At Departure, Estimated Arrival Time, Estimated SOC at Arrival
7,0,6,1,charger_1_1,-1,81,-1,
7,1,6,1,charger_1_1,-1,81,-1,
7,2,6,1,charger_1_1,-1,81,-1,
7,3,6,1,charger_1_1,-1,81,-1,
7,4,6,1,charger_1_1,-1,81,-1,
7,5,6,1,charger_1_1,-1,81,-1,
7,6,6,1,charger_1_1,-1,81,-1,
7,7,6,1,charger_1_1,-1,81,-1,
7,8,6,1,charger_1_1,-1,81,-1,
7,9,6,1,charger_1_1,-1,81,-1,
7,10,6,1,charger_1_1,-1,81,-1,
7,11,6,1,charger_1_1,-1,81,-1,
7,12,6,1,charger_1_1,-1,81,-1,
7,13,6,1,charger_1_1,-1,81,-1,
7,14,6,1,charger_1_1,-1,81,-1,
7,15,6,1,charger_1_1,-1,81,-1,
7,16,6,1,charger_1_1,-1,81,-1,
7,17,6,1,charger_1_1,-1,81,-1,
7,18,6,1,charger_1_1,-1,81,-1,
7,19,6,1,charger_1_1,-1,81,-1,
7,20,6,1,charger_1_1,-1,81,-1,
7,21,6,1,charger_1_1,-1,81,-1,
7,22,6,1,charger_1_1,-1,81,-1,
7,23,6,1,charger_1_1,-1,81,-1,
7,0,7,1,charger_1_1,-1,81,-1,
7,1,7,1,charger_1_1,-1,81,-1,
7,2,7,1,charger_1_1,-1,81,-1,
7,3,7,1,charger_1_1,-1,81,-1,
7,4,7,1,charger_1_1,-1,81,-1,
7,5,7,1,charger_1_1,-1,81,-1,
7,6,7,1,charger_1_1,-1,81,-1,
7,7,7,1,charger_1_1,-1,81,-1,
7,8,7,1,charger_1_1,-1,81,-1,
7,9,7,1,charger_1_1,-1,81,-1,
7,10,7,1,charger_1_1,-1,81,-1,
7,11,7,1,charger_1_1,-1,81,-1,
7,12,7,1,charger_1_1,-1,81,-1,
7,13,7,1,charger_1_1,-1,81,-1,
7,14,7,1,charger_1_1,-1,81,-1,
7,15,7,1,charger_1_1,-1,81,-1,
7,16,7,1,charger_1_1,-1,81,-1,
7,17,7,1,charger_1_1,-1,81,-1,
7,18,7,1,charger_1_1,-1,81,-1,
7,19,7,1,charger_1_1,-1,81,-1,
7,20,7,1,charger_1_1,-1,81,-1,
7,21,7,1,charger_1_1,-1,81,-1,
7,22,7,1,charger_1_1,-1,81,-1,
7,23,7,1,charger_1_1,-1,81,-1,
7,0,1,1,charger_1_1,7,81,,
7,1,1,1,charger_1_1,6,81,,
